name,lat,lon
Aulia,,
Narottampur,,
Kolsuli,,
Jemua,,
Taltala,,
Dhengashimul,,
Jugda,,
Nachna,,
Hatpara,,
Kusmi,,
Radhamohanpur,,
Deuli,,
Bhutama Maheshpur,,
Harulia,,
Khatbanda,,
Harakona,,
Bhedua,,
Churamanipur,,
Jafla,,
Bara Meshya,,
Shyamsundarpur,,
Nityanandapur,,
Chenchurya,,
Bara Lakshanpur,,
Benda Lakshanpur,,
Telanbandi,,
Bhaluka,,
Tulderya,,
Asnasundarpur,,
Asnasol,,
Tilaghagri,,
Saharghati,,
Chenchurya,,
Taldangra,,
Amlatara,,
Banktor,,
Belshulya,,
Phulmati,,
Parulia,,
Machla,,
Punesa,,
Chak shyampur,,
Kajla,,
Ata,,
Baharagarya,,
Shyampur,,
Manikmara,,
Jashodanandanpur,,
Jiakanali,,
Nutangram,,
Dunduria,,
Dhobajor,,
Banshkopa,,
Kanaipur,,
Radhanagar,,
Amjor,,
Panchmura,,
Adhkara,,
Kurkutia,,
Jaypur,,
Chak Jambedia,,
Lalbandh,,
Deulbhira,,
Bhetuadanga,,
Jambedia,,
Resiagara,,
Shyamsundarpur,,
Tatar,,
Chak Majuri Prasadpur,,
Dauni,,
Mahulbera,,
Parirdihi,,
Methena,,
Majuri Prasadpur,,
Sitarampur,,
Chandabila,,
Uparshol,,
Satmauli,,
Nachankonda,,
