0,1,2,3,4,5
4128,Bidhan Nagar (Sec-2A)_C Resi,000,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4129,Kalna,095,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4130,Parsura,096,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4131,ADDA BLOCK-51,000,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4132,Bidhan Nagar (Sec-2A)_D Resi,000,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4133,ADDA BLOCK-52,000,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4134,Sounta,097,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4135,Bidhan Nagar (Sec-2A)_AG R-underG.H.S,000,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4136,Sridharpur,098,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4137,Bidhan Nagar (sec-2 A)_ C S,000,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4138,ADDA BLOCK-53,000,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4139,Bidhan Nagar (Sec-2A)_bulk(copt),000,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4140,Balna,099,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4141,ADDA BLOCK-54,000,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4142,Dalpur,100,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4143,ADDA BLOCK-55,000,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4144,Bidhan Nagar (Sec-2B)_A Resi,000,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4145,Sarul,101,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4146,Bidhan Nagar (Sec-2B)_AN Resi,000,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4147,ADDA BLOCK-56,000,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4148,Ura,102,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4149,ADDA BLOCK-57,000,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4150,Bidhan Nagar (Sec-2B)_B Resi,000,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4151,ADDA BLOCK-58,000,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4152,Chakmuria,103,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4153,Bidhan Nagar (Sec-2B)_BN Resi,000,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4154,Khano,104,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4155,ADDA BLOCK-59,000,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4156,Bidhan Nagar (Sec-2B)_C Resi,000,23,2015-11-04 18:29:32,2015-11-04 18:29:32
4157,ADDA BLOCK-60,000,23,2015-11-04 18:29:32,2015-11-04 18:29:32
4158,Chhotomuria,105,23,2015-11-04 18:29:32,2015-11-04 18:29:32
4159,Bidhan Nagar (Sec-2B)_D Resi,000,23,2015-11-04 18:29:32,2015-11-04 18:29:32
4160,Pilgram,106,23,2015-11-04 18:29:32,2015-11-04 18:29:32
4161,ADDA BLOCK-61,000,23,2015-11-04 18:29:32,2015-11-04 18:29:32
4162,Bidhan Nagar (Sec-2B)_E Resi,000,23,2015-11-04 18:29:32,2015-11-04 18:29:32
4163,Bidhan Nagar (Sec-2B)_G Resi,000,23,2015-11-04 18:29:32,2015-11-04 18:29:32
4164,Joykrishnapur,107,23,2015-11-04 18:29:32,2015-11-04 18:29:32
4165,ADDA BLOCK-62,000,23,2015-11-04 18:29:32,2015-11-04 18:29:32
4166,Bidhan Nagar (Sec-2B)_N Resi,000,23,2015-11-04 18:29:32,2015-11-04 18:29:32
4167,Taranagar,108,23,2015-11-04 18:29:32,2015-11-04 18:29:32
4168,ADDA BLOCK-63,000,23,2015-11-04 18:29:32,2015-11-04 18:29:32
4169,Hariharpur,000,23,2015-11-04 18:29:32,2015-11-04 18:29:32
4170,Mouri,109,23,2015-11-04 18:29:32,2015-11-04 18:29:32
